ApplicationID,ApplicationNumber,ApplicantType,Participants,Institution,InstCity,InstState,InstPostalCode,InstCountry,CouncilDate,YearAwarded,ProjectTitle,FieldCode,FieldName,ProgramID,ProgramName,DivisionID,DivisionName,OfferedOutright,OfferedMatching,ApprovedOutright,ApprovedMatching,AwardOutright,AwardMatching,OriginalAmount,SupplementAmount,GrantPeriod,ProjectDesc,ToSupport,Gender,Race,Culture,Language,Religion,Country,U.S. Census Label
224571,HK-50155-14,O,"Anne Balsamo (Project Director, 02/26/2014 - present); Dale Macdonald (Co Project Director, 07/21/2014 - present)",New School,New York,NY,10011-8871,USA,7/14/2015,2014,AIDS Quilt Touch: Empowering Communities to Share and Preserve Cultural Heritage through Digital Storytelling,GL,"Cultural History, Media Studies, Public History",284,Digital Humanities Implementation Grants,12,Digital Humanities,$0.00,$0.00,"$321,872.00",$0.00,"$321,872.00",$0.00,"$321,872.00",$0.00,9/1/2014 Ð 8/31/2016,"The proposed implementation project ultimately aims to: explore how digital technologies might assist the transformation of communities of interest into communities of participation, enhance practices of cultural memory, and contribute to innovation in modes of archiving works of cultural heritage. Specifically, “AIDS Quilt Touch” will expand and enhance the digital archives of the AIDS Memorial Quilt to enable public engagement with this important work of cultural heritage for the purposes of cultural storytelling, historical archiving, and contemporary health awareness of issues pertaining to HIV-AIDS.","To support: The development of a media platform that will allow for visualization tools for exploring large collections of humanities images, means for collecting tags and metadata about the images, increased search capabilities, and the documentation of strategies for community participation, using the AIDS Memorial Quilt Digital Archive and the Quilt Index at Michigan State University as the test cases.",,,,,,,
224577,HK-50161-14,O,"Niek Veldhuis (Project Director, 02/26/2014 - present); Laurie Pearce (Co Project Director, 07/16/2014 - present)","University of California, Berkeley",Berkeley,CA,94720-1501,USA,7/14/2015,2014,Berkeley Prosopography Services: Implementing the Tool-kit,CC,Ancient Languages,284,Digital Humanities Implementation Grants,12,Digital Humanities,$0.00,$0.00,"$325,000.00",$0.00,"$325,000.00",$0.00,"$325,000.00",$0.00,9/1/2014 Ð 9/30/2016,"The project is designed to extend the functionality of Berkeley Prosopography Services (BPS), an interactive tool-kit for analyzing and visualizing datasets, and to expand its accessibility and utility to researchers working with data across diverse disciplines. BPS streamlines prosopography and social network analysis (SNA) by offering an integrated and customizable out-of-the-box digital analysis tool-kit and work environment that facilitate the dynamic recovery and exploration of the connections between individuals and activities in all areas and ages of human endeavor. The tool-kit includes: (1) a corpus input and management tool, (2) a probabilistic disambiguator, (3) support for assertions, (4) an SNA engine, (5) a visualization module, and (6) workspace support. The implementation phase of BPS will build on its existing software base, its sound conceptual and architectural structure and will focus on these areas of technical development and increased user functionality.",To support: The enhancement of the Berkeley Prosopography Services platform and toolkit to extend its capabilities for social network analysis and improve its user interface for scholars.,,,,,,,
224580,HK-50164-14,O,"Lisa Snyder (Project Director, 02/26/2014 - present); Scott Friedman (Co Project Director, 07/21/2014 - present)","University of California, Los Angeles",Los Angeles,CA,90095-9000,USA,7/14/2015,2014,The VSim Project Repository and Archive: Interface software and online repository and archive to facilitate distribution and,M8,Architecture,284,Digital Humanities Implementation Grants,12,Digital Humanities,$0.00,$0.00,"$324,967.00",$0.00,"$324,967.00",$0.00,"$324,967.00",$0.00,9/1/2014 Ð 8/31/2016,"Funding from the National Endowment for the Humanities is requested for (1) the development of production-level software that facilitates peer review and educational use of academically generated computer reconstruction models of historic urban environments, and (2) the creation of an online project repository and archive for the dissemination of three-dimensional content across grade levels and humanities disciplines. The first major goal of the proposal is to build a production-level version of VSim, the prototype interface software for interaction with 3D content that was developed through NEH Start-Up Grant HD-50958-10. The second major goal of the proposal is to create an online project repository and archive to facilitate peer review and dissemination of academically generated 3D content. The long-term vision of the project is to build a thriving community of scholars and educators sharing their 3D content and leveraging existing and new academic modeling work for broad educational use through a project repository and archive focused on the real-time explorations of reconstruction of historic urban environments.","To support: Development of the VSim software, which provides a guided interface for educational 3D visualizations, and a repository for 3D models of historical sites to support sharing and peer review.",,,,,,,
224589,HK-50173-14,O,"Jon Frey (Project Director, 02/26/2014 - present); Ethan Watrall (Co Project Director, 07/21/2014 - present)",Michigan State University,East Lansing,MI,48824-1168,USA,7/14/2015,2014,ARCS: Archaeological Resource Cataloguing System,LA,Archaeology,284,Digital Humanities Implementation Grants,12,Digital Humanities,$0.00,$0.00,"$324,586.00",$0.00,"$324,586.00",$0.00,"$324,586.00",$0.00,9/1/2014 Ð 8/31/2017,"ARCS (Archaeological Resource Cataloguing System) enables individual archaeologists and larger, multi-member archaeological projects to collect, annotate, display, search, organize, and share primary documentary materials such as field journals, photographs, and artifact catalogs over the web. Through the use of crowdsourcing and a common metadata scheme, this open source platform offers archaeological projects a way to annotate and share non “born digital” data with scholars and the general public in a way that respects their unique identity and budgetary constraints. A version of ARCS was created for use at the Ohio State University Excavations at Isthmia and was the original test case for the Digital Humanities Startup Grant. To further develop the utilities designed to encourage collaborative research between scholars and projects, it is now proposed that ARCS be implemented at a select number of additional archaeological excavations.","To support: The Archaeological Resource Cataloging System (ARCS) would provide an open-source application where users can upload, tag, sort, and link together digitized copies of photographs, drawings, and (frequently handwritten) documents of the archaeological record. Building from the original case study of Ohio State University’s excavations at Isthmia, the team would add three archaeological sites (in Polis, Chersonesos, and Nemea) to test the development of ARCS.",,,,,,,
224591,HK-50175-14,O,"Kerri Hoffman (Project Director, 02/26/2014 - present)","PRX, Inc.",Cambridge,MA,02238-2334,USA,7/14/2015,2014,"Pop Up Archive: Saving culturally significant audio through preservation, searchability, and distribution",P4,"Journalism, Social Sciences, General",284,Digital Humanities Implementation Grants,12,Digital Humanities,"$325,000.00",$0.00,"$325,000.00",$0.00,"$325,000.00",$0.00,"$325,000.00",$0.00,9/1/2014 Ð 8/31/2015,"Pop Up Archive is a set of web-based tools that make audio searchable and reusable for scholars, journalists, and the public through speech-to-text and keyword extraction software. Pop Up Archive unites audio recordings and voices from disparate places and eras, diving deep into our nation’s rich oral history. We seek to scale Pop Up Archive across U.S. recorded sound collections by implementing a transcription toolkit developed by the British Broadcasting Corporation, processing over 30,000 hours of digital sound from public media and oral history archives, and educating these communities on best practices for preserving and creating access to digital sound. Pop Up Archive is open source, conforms to archival standards, and requires no technical expertise of participating organizations. For the first time, digital sounds can be automatically searched to the timestamp, contextualized with topic headings, and indexed for safe and permanent backup preservation at the Internet Archive.","To support: Further development of Pop Up Archive, an online platform for managing and disseminating audio collections, including automated methods for transcribing and searching sound files.",,,,,,,
224592,HK-50176-14,O,"J. Stephen Downie (Project Director, 02/26/2014 - present); Erez Lieberman-Aiden (Co Project Director, 07/21/2014 - present)","University of Illinois, Urbana-Champaign",Champaign,IL,61820-6903,USA,7/14/2015,2014,Exploring the Billions and Billions of Words in the HathiTrust Corpus with Bookworm: HathiTrust + Bookworm Project,G1,"Interdisciplinary Studies, General",284,Digital Humanities Implementation Grants,12,Digital Humanities,$0.00,$0.00,"$324,841.00",$0.00,"$324,841.00",$0.00,"$324,841.00",$0.00,9/1/2014 Ð 8/31/2016,The HathiTrust + Bookworm (HT+BW) Project provides scholars new ways to explore trends within the massive HathiTrust corpus. Detailed exploration of metadata facets adds analytic value over such tools as Google Ngram Viewer. It enables scholars to explore personal worksets and aids discovery of new works. It will help the HathiTrust Research Center provide computational access to the HathiTrust corpus. Open-source improvements to Bookworm code will increase value to other large text projects.,"To support: The enhancement and integration of the Bookworm analytical tool with the HathiTrust Digital Library, which holds 3.9 billion pages of digitized materials. Scholars would be able build individual collections of materials to be studied and to discover new textual use patterns across the corpus.",,,,,,,
224597,HK-50181-14,O,"Michele Weigle (Project Director, 02/26/2014 - present); Liza Potts (Co Project Director, 07/21/2014 - present); Michael Nelson (Co Project Director, 07/21/2014 - present)",Old Dominion University Research Foundation,Norfolk,VA,23508-0369,USA,7/14/2015,2014,Archive What I See Now: Bringing Institutional Web Archiving Tools to the Individual Researcher,G1,"Interdisciplinary Studies, General",284,Digital Humanities Implementation Grants,12,Digital Humanities,"$324,634.00",$0.00,"$324,634.00",$0.00,"$324,634.00",$0.00,"$324,634.00",$0.00,9/1/2014 Ð 8/31/2017,"Archiving web pages is an essential method for ensuring ephemeral web resources are available for future research. Our goals are 1) to enable users to generate files suitable for use by large-scale archives with tools as simple as the “bookmarking” or “save page as” approaches that they already know, and 2) to enable users to access the archived resources in their browser. We propose to build three open-source tools to support this personal-scale web archiving: WARCreate, WAIL, and Mink.",To support: Further development of a toolset that would allow individual humanities researchers and institutions to easily archive websites and to navigate archived collections.,,,,,,,
220009,HK-50070-13,O,"Christian Spielvogel (Project Director, 01/29/2013 - present)",Hope College,Holland,MI,49423-3607,USA,7/13/2015,2013,Scaling Digital Gaming to Humanities Pedagogy and Praxis,P2,Communications,284,Digital Humanities Implementation Grants,12,Digital Humanities,$0.00,$0.00,"$299,221.00",$0.00,"$299,221.00",$0.00,"$299,221.00",$0.00,9/1/2013 Ð 8/31/2016,"This project proposes five activities over the implementation grant period to simplify, scale and further legitimize the scholarly production and pedagogical application of games and simulations: 1) Development of nine new multiplayer simulations in the humanities. 2) Development of an authoring workflow that enables teacher/scholars with no programming background to develop and scaffold their own multiplayer simulations in five simple steps. 3) Incorporation of a digital peer review methodology and process to validate the quality of humanities games and simulations. 4) Refinement of a dual-sided interface that allows students to rotate between immersion as a character in a ""role-play mode,"" and an out-of-character ""reflection mode"" to promote critical inquiry and self-reflection. 5) Development of community features to promote sharing of supplemental simulation content, exercises, and assessment.","To support: Development of a platform that would allow educators across humanities disciplines to create web-based, multiplayer historical role-playing games. The platform would also include tools to facilitate peer review of game materials.",,,,,,,
220011,HK-50072-13,O,"Kurt Fendt (Co Project Director, 01/29/2013 - present); James Paradis (Project Director, 01/29/2013 - present)",Massachusetts Institute of Technology,Cambridge,MA,02139-4307,USA,7/13/2015,2013,Annotation Studio: Multimedia Annotation for Students,G1,"Interdisciplinary Studies, General",284,Digital Humanities Implementation Grants,12,Digital Humanities,$0.00,$0.00,"$324,833.00",$0.00,"$324,833.00",$0.00,"$324,833.00",$0.00,9/1/2013 Ð 8/31/2015,"Annotation Studio is a web-based annotation application that integrates a powerful set of textual interpretation tools behind an interface that makes using those tools intuitive for undergraduates. Building on students’ new media literacies, this Open-source application develops traditional humanistic skills including close reading, textual analysis, persuasive writing, and critical thinking. Initial features of the Annotation Studio prototype, supported by an NEH Start-Up Grant, include aligned multi-media annotation of written texts, user-defined sharing of annotations, and grouping of annotation by self-defined tags to support interpretation and argument development. The fully developed application will support annotation of image, video and audio documents; annotation visualization; export of texts with annotations; and a media repository. We will also identify best practices among faculty using Annotation Studio in a broad range of humanities classes across the country.","To support: Further development and wide-scale implementation of Annotation Studio, a platform to enhance student learning through annotation of digital texts, images, and video resources.",,,,,,,
220026,HK-50087-13,O,"Paula Findlen (Co Project Director, 01/29/2013 - present); Dan Edelstein (Project Director, 01/29/2013 - present)",Stanford University,Stanford,CA,94305,USA,7/13/2015,2013,Networks in History: Data-driven tools for analyzing relationships across time,G1,"Interdisciplinary Studies, General",284,Digital Humanities Implementation Grants,12,Digital Humanities,$0.00,$0.00,"$297,137.00",$0.00,"$297,137.00",$0.00,"$297,137.00",$0.00,9/1/2013 Ð 12/31/2015,"Previous NEH-funding made it possible for ""Mapping the Republic of Letters"" project to develop a series of visualization prototypes to analyze the geographic breadth, historical shape, and social composition of intellectual networks; tools that support a domain expert's capacity to make sense of complexity, rather than relying on automated reasoning. With this project we will develop our most successful visualization techniques to serve historical research with three user groups in mind: 1. Digital humanities scholars with the technical expertise to integrate our code into their own projects and web applications (the ""widget"" model); 2. Scholars seeking easy upload, exploration, and analysis of historical data sets, without having to touch any code; 3. Early modern scholars who want to use these tools to explore and analyze their own data in the larger context of data already collected for ""Mapping the Republic of Letters.""","To support: A project to develop a general-purpose suite of visualization and analytical tools based on the prototypes created for the Mapping the Republic of Letters project, which examines the scholarly communities and networks of knowledge during the period 1500-1800.",,,,,,,
220030,HK-50091-13,O,"Peter Bol (Project Director, 01/29/2013 - present); Suzanne Blier (Co Project Director, 07/01/2013 - present)",Harvard University,Cambridge,MA,02138-3800,USA,7/13/2015,2013,"Extending WorldMap to Make It Easier for Humanists and Others to Find, Use, and Publish Geospatial Information",LB,Geography,284,Digital Humanities Implementation Grants,12,Digital Humanities,"$320,888.00",$0.00,"$320,888.00",$0.00,"$320,888.00",$0.00,"$320,888.00",$0.00,9/1/2013 Ð 8/31/2015,"WorldMap is being developed by the Center for Geographic Analysis at Harvard University as an open source and open access online platform for visualizing and sharing spatial data. It has attracted considerable use since released in July of 2011. We propose making improvements to WorldMap which will transform it from mapping portal to geospatial node on the web. We will develop a new data catalog to expose WorldMap contents for interactive use in systems outside WorldMap. We will gather map metadata from map servers around the world to add to this catalog, eventually maintaining a complete index of map services. To improve search in a metadata-weak map services environment we will add the capability to search by time; develop a mechanism for exposing feature level text to layer search; and use rankings, usage statistics and internal links to weight search results. We will also enable users to create temporal gazetteers and contribute them to a common crowd-sourced gazetteer.","To support: Continuing development of the WorldMap platform, a system that allows scholars, teachers, and students to explore, visualize, edit, and publish geospatial information.",,,,,,,
220059,HK-50120-13,O,"Kimberly Christen Withey (Project Director, 01/29/2013 - present)",Washington State University,Pullman,WA,99164-0001,USA,7/13/2015,2013,Mukurtu Mobile: Empowering Knowledge Circulation Across Cultures,G1,"Interdisciplinary Studies, General",284,Digital Humanities Implementation Grants,12,Digital Humanities,$0.00,$0.00,"$319,331.00",$0.00,"$319,331.00",$0.00,"$319,331.00",$0.00,9/1/2013 Ð 8/31/2015,"This project will implement Mukurtu Mobile (mukurtumobile.org), an innovative iPhone application that empowers indigenous communities to collect, share and preserve their cultural and environmental resources. Mukurtu Mobile provides a platform for individuals to bring their own knowledge base to the common concerns of local, traditional and indigenous communities worldwide. With an interface directly to Mukurtu CMS, Mukurtu Mobile will link the power of a robust, culturally responsive CMS to the direct collection of knowledge on-the-ground. Adopted by communities globally, Mukurtu CMS (mukurtu.org) was built to address the specific needs of indigenous communities to manage, share and preserve their digital heritage. From citizen archivists to citizen scientists Mukurtu Mobile will enable the connection of local sets of knowledge and data to fuel research hubs and educational environments that unite local communities around global issues such as natural and cultural resource management.","To support: The development of Mukurtu Mobile, an open-source mobile platform for collecting and exhibiting indigenous digital cultural heritage.",,,,,,,
220067,HK-50128-13,O,"Benjamin Vershbow (Project Director, 01/29/2013 - present)",New York Public Library,New York,NY,10018,USA,7/13/2015,2013,Scribe: Turning Text into Structured Information through the Power of the Crowd,G1,"Interdisciplinary Studies, General",284,Digital Humanities Implementation Grants,12,Digital Humanities,$0.00,$0.00,"$325,000.00",$0.00,"$325,000.00",$0.00,"$325,000.00",$0.00,9/1/2013 Ð 8/31/2015,"The New York Public Library seeks to partner with the renowned citizen science team at Zooniverse to build Scribe: an open source transcription engine geared toward flexible, structured data extraction from a wide range of humanities documents. The final deliverable would be a developer-ready, open source transcription engine with an adjustable data schema, enabling scholars and curators to easily decide on a wide range of interactions with a document, keeping technical hurdles to a minimum. Based on an initial prototype built by Zooniverse, the tool would be developed collaboratively over two years through the release of several new humanities projects from the respective teams. At the end of the project, all code would be open sourced alongside a website publishing best practices and live demos of the various out-of-the-box modes of the engine.","To support: Further development of Scribe, an open-source, extensible software platform for crowdsourced transcription of cultural heritage collections, including tools for transcription management, quality control, and data sharing.",,,,,,,
214944,HK-50011-12,O,"Marti Hearst (Project Director, 01/31/2012 - present)","University of California, Berkeley",Berkeley,CA,94720-1501,USA,7/12/2015,2012,WordSeer: A Text Analysis Environment for Literature Study,D1,"Literature, General",284,Digital Humanities Implementation Grants,12,Digital Humanities,$0.00,$0.00,"$228,546.00",$0.00,"$228,546.00",$0.00,"$228,546.00",$0.00,9/1/2012 Ð 5/31/2015,"This project will continue on the success of a Digital Humanities Startup grant (HD-51244-11) to produce a software environment for literary text analysis. Literature study is a cycle of reading, interpretation, exploration, and understanding. Called WordSeer, this software system integrates tools for automated processing of text with interaction techniques that support the interpretive, exploratory, and note-taking aspects of scholarship. Development of the tool follows best practices surrounding user-centered design and evaluation. At present, the system supports grammatical search and contextual similarity determination, visualization of patterns of word context. This implementation grant will allow for incorporating additional tools to aid comparison, exploration, grouping, and hypothesis formation, and to make the software more robust and therefore sharable and usable by a wide community of scholars.","To support: Further development of the WordSeer platform, which provides computational analysis and visualization tools for literary researchers. The platform will be available for general use but also will include three new case studies based on three different text collections: interviews and writings of North American slaves (University of California, Berkeley); the works of Stephen Crane (Emory University); and the complete works of Shakespeare (University of Calgary).",,,,,,,
214948,HK-50015-12,O,"Martin Foys (Project Director, 01/31/2012 - present); Shannon Bradshaw (Co Project Director, 07/26/2012 - 06/03/2014)",Drew University,Madison,NJ,07940-1493,USA,7/12/2015,2012,The DM Environment: From Annotation to Dissemination,G1,"Interdisciplinary Studies, General",284,Digital Humanities Implementation Grants,12,Digital Humanities,$0.00,$0.00,"$246,566.00",$0.00,"$246,566.00",$0.00,"$246,566.00",$0.00,9/1/2012 Ð 10/31/2015,"DM (formerly Digital Mappaemundi) is an online environment that allows users to easily assemble collections of images and texts for study, produce their own rich analysis data, and publish online resources for individual, group or public use. DM is ready for multi-year work with five partner projects (including a new partnership with the British Library) to implement a publicly available user-friendly environment that enables users to 1) assemble collections of resources from any combination of accessible repositories; 2) create richly linked data (e.g., annotation networks involving combinations of images, texts, fragments, web resources, and other annotations) and collections, sequences and indices that organize this data; 3) export data in a number of linked data formats; and 4) easily produce publicly accessible and interactive websites based on such data and linked data published elsewhere.","To support: The further development and testing of the annotation and online publishing capabilities of the DM (formerly Digital Mappaemundi) tool, an online environment that allows users to assemble collections of images and texts for humanities research and scholarship.",,,,,,,
214954,HK-50021-12,O,"Mary Flanagan (Project Director, 01/31/2012 - present)",Dartmouth College,Hanover,NH,3755,USA,7/12/2015,2012,Metadata Games: Improving Access to Humanities Artifacts,Y1,Archival Management and Conservation,284,Digital Humanities Implementation Grants,12,Digital Humanities,$0.00,$0.00,"$324,872.00",$0.00,"$324,872.00",$0.00,"$324,872.00",$0.00,9/1/2012 Ð 8/31/2015,"Our team received Level II Start Up funding to create a pilot of Metadata Games (MG), a software system that uses computer games to collect information about artifacts in libraries and archives as they strive to go digital. Games are useful in that they can entice those who might not visit archives to explore humanities content while contributing to vital records, and they create much more metadata than typical staff can do alone in the same timeframe. The system is open-source and is easily customized to meet each institution’s needs. The full project employs new techniques to make the system smarter and more trustworthy. We will also create new game components. MG can be used to enhance knowledge about artifacts in particular disciplines and fields, or with interdisciplinary collections. MG has the potential to unearth new knowledge that could radically enhance scholarship in the humanities, expanding what records we can encounter in our quest to understand the human experience.",To support: The implementation of a software system that would use game play to allow users to contribute high-quality descriptive information about digital collections of humanities materials held by cultural heritage institutions.,,,,,,,
